id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,content_status,wd_linked,notes
536,plants_fungi,vol1,Скално секирче,Lathyrus saxatilis,CR,no,,Q15474182,http://e-ecodb.bas.bg/rdb/bg/vol1/Latsaxat.html,Скално секирче,Lathyrus saxatilis,Скално секирче,Lathyrus saxatilis,todo,,
537,plants_fungi,vol1,Славянско котенце,Pulsatilla slaviankae,EN,yes,https://bg.wikipedia.org/wiki/Славянско_котенце,Q29105528,http://e-ecodb.bas.bg/rdb/bg/vol1/Pulslavi.html,Славянско котенце,Pulsatilla slaviankae,славянско котенце,Pulsatilla slaviankae,todo,,
538,plants_fungi,vol1,Слънчева гълъбка,Russula solaris,EN,no,,Q1361089,http://e-ecodb.bas.bg/rdb/bg/vol1/Russolar.html,Слънчева гълъбка,Russula solaris,Слънчева гълъбка,Russula solaris,todo,,
539,plants_fungi,vol1,Смърчов фелинус,Phellinus viticola,EN,no,,Q10713610,http://e-ecodb.bas.bg/rdb/bg/vol1/Phevitic.html,Смърчов фелинус,Phellinus viticola,Смърчов фелинус,Phellinus viticola,todo,,
540,plants_fungi,vol1,Снежна тинтява,Gentiana nivalis,EN,yes,https://bg.wikipedia.org/wiki/Снежна_тинтява,Q161661,http://e-ecodb.bas.bg/rdb/bg/vol1/Gennival.html,Снежна тинтява,Gentiana nivalis,снежна тинтява,Gentiana nivalis,todo,,
541,plants_fungi,vol1,Снежно кокиче,Galanthus nivalis,EN,redirect,https://bg.wikipedia.org/wiki/Обикновено_кокиче,Q109995,http://e-ecodb.bas.bg/rdb/bg/vol1/Galnival.html,Снежно кокиче,Galanthus nivalis,обикновено кокиче,Galanthus nivalis,todo,,WP redirect -> Обикновено кокиче
542,plants_fungi,vol1,Сплескан дифазиаструм,Diphasiastrum complanatum,RE,yes,https://bg.wikipedia.org/wiki/Сплескан_дифазиаструм,Q787930,http://e-ecodb.bas.bg/rdb/bg/vol1/Dipcompl.html,Сплескан дифазиаструм,Diphasiastrum complanatum,Сплескан дифазиаструм,Diphasiastrum complanatum,todo,,
543,plants_fungi,vol1,Сребриста поветица,Convolvulus holosericeus,CR,yes,https://bg.wikipedia.org/wiki/Сребриста_поветица,Q17398022,http://e-ecodb.bas.bg/rdb/bg/vol1/Conholos.html,Сребриста поветица,Convolvulus holosericeus,сребриста поветица,Convolvulus holosericeus,todo,,
544,plants_fungi,vol1,Сръбска рамонда,Ramonda serbica,EN,yes,https://bg.wikipedia.org/wiki/Сръбска_рамонда,Q2272219,http://e-ecodb.bas.bg/rdb/bg/vol1/Ramserbi.html,Сръбска рамонда,Ramonda serbica,сръбска рамонда,Ramonda serbica,todo,,
545,plants_fungi,vol1,Сръбски едрайант,Edraianthus serbicus,EN,no,,Q3048249,http://e-ecodb.bas.bg/rdb/bg/vol1/Edrserbi.html,Сръбски едрайант,Edraianthus serbicus,сръбско каменливче,Edraianthus serbicus,todo,,
